time_h,centre_C_kg_per_kg,surface_C_kg_per_kg
16.9,0.3166348787712272,0.09111425891222821
16.916666666666668,0.3163413255532884,0.09099946495772461
16.933333333333334,0.31604856873109144,0.09088516214367912
16.95,0.31575660527188654,0.09077134774517837
16.966666666666665,0.3154654321564582,0.09065801905450463
16.983333333333334,0.3151750463790683,0.09054517338103708
17.0,0.3148854449473899,0.09043280805115285
17.016666666666666,0.3145966248824505,0.09032092040812875
17.033333333333335,0.3143085832185668,0.09020950781204162
17.05,0.3140213170032888,0.0900985676396712
17.066666666666666,0.3137348232973341,0.08998809728439996
17.083333333333332,0.3134490991745326,0.08987809415611671
17.1,0.3131641417217617,0.08976855568111629
17.116666666666667,0.3128799480388915,0.08965947930200413
17.133333333333333,0.31259651523872006,0.08955086247759562
17.15,0.3123138404469193,0.08944270268282163
17.166666666666668,0.31203192080197056,0.08933499740862773
17.183333333333334,0.3117507534551112,0.08922774416188047
17.2,0.31147033557027065,0.08912094046526677
17.216666666666665,0.31119066432401654,0.08901458385720103
17.233333333333334,0.31091173690549256,0.08890867189172455
17.25,0.31063355051636465,0.08880320213841358
17.266666666666666,0.310356102370759,0.08869817218227882
17.283333333333335,0.31007938969520826,0.08859357962367428
17.3,0.3098034097285906,0.08848942207819707
17.316666666666666,0.30952815972207726,0.08838569717659724
17.333333333333332,0.3092536369390706,0.08828240256467768
17.35,0.30897983865515205,0.08817953590320501
17.366666666666667,0.30870676215802156,0.08807709486780974
17.383333333333333,0.308434404747446,0.0879750771488979
17.4,0.3081627637351985,0.08787348045155172
17.416666666666668,0.3078918364450071,0.0877723024954423
17.433333333333334,0.30762162021249523,0.08767154101473046
17.45,0.30735211238513066,0.08757119375798059
17.466666666666665,0.3070833103221659,0.08747125848806181
17.483333333333334,0.3068152113945883,0.08737173298206267
17.5,0.30654781298506056,0.08727261503119295
17.516666666666666,0.30628111248787065,0.08717390244069918
17.533333333333335,0.30601510730887366,0.08707559302976704
17.55,0.3057497948654424,0.08697768463143822
17.566666666666666,0.3054851725864091,0.0868801750925128
17.583333333333332,0.3052212379120162,0.08678306227346712
17.6,0.30495798829385884,0.08668634404835705
17.616666666666667,0.30469542119483584,0.08659001830473663
17.633333333333333,0.3044335340890931,0.08649408294356196
17.65,0.30417232446197534,0.0863985358791112
17.666666666666668,0.3039117898099688,0.08630337503888875
17.683333333333334,0.30365192764065374,0.08620859836354614
17.7,0.3033927354726483,0.08611420380678715
17.716666666666665,0.3031342108355608,0.08602018933528913
17.733333333333334,0.3028763512699344,0.0859265529286093
17.75,0.3026191543271992,0.08583329257910753
17.766666666666666,0.3023626175696179,0.08574040629185259
